,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_90,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,host_days_active,check_in_24h,air_conditioning,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,pets_allowed,private_entrance,self_check_in,time_since_first_review,time_since_last_review
3927,38986918,2017-02-21,within an hour,100%,0,3,0,Bradford,Apartment,Private room,2,1.0,1.0,1.0,45,,0,1,0,1,1125,37,20,2019-10-13,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,1,flexible,777.0,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6-12 months,57.0
3928,38988777,2015-07-22,within an hour,100%,0,2,0,Salford District,House,Private room,2,1.0,1.0,1.0,60,,0,1,0,2,30,79,0,,nan,nan,nan,nan,nan,nan,nan,0,moderate,1357.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,nan,
3929,38995384,2013-06-11,unknown,unknown,1,0,1,Cheetham,House,Private room,2,1.5,1.0,1.0,30,$0.00,5,1,4,1,6,0,8,2019-10-06,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,flexible,2128.0,,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6-12 months,141.0
3930,38999326,2019-09-29,within a day,100%,0,0,0,Hulme,Apartment,Entire home/apt,2,1.0,1.0,1.0,60,$0.00,25,1,0,2,1125,17,4,2019-10-28,80-94/100,10/10,9/10,10/10,10/10,10/10,9/10,0,moderate,-173.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0-6 months,71.0
3931,39001179,2019-09-29,within an hour,100%,1,1,0,Bradford,House,Entire home/apt,8,2.5,3.0,3.0,150,$0.00,50,4,30,1,1125,82,14,2019-10-13,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,-173.0,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,6-12 months,57.0
3932,39001946,2015-03-12,within an hour,100%,1,2,1,Stockport District,House,Private room,2,1.5,1.0,1.0,24,$0.00,4,1,7,1,88,87,25,2019-10-02,95-100/100,10/10,10/10,10/10,10/10,9/10,10/10,1,strict_14_with_grace_period,1489.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6-12 months,43.0
3933,39003327,2015-01-03,within an hour,100%,0,1,0,Tameside District,House,Private room,2,1.0,1.0,1.0,23,$0.00,10,2,0,1,1125,72,10,2019-10-26,95-100/100,9/10,10/10,10/10,10/10,9/10,10/10,1,strict_14_with_grace_period,1557.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0-6 months,41.0
3934,39014483,2018-11-20,within an hour,90-99%,1,6,0,City Centre,Other,Entire home/apt,2,1.0,1.0,1.0,150,$0.00,0,2,18,1,1125,90,9,2019-10-15,95-100/100,9/10,10/10,10/10,10/10,10/10,10/10,1,moderate,140.0,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6-12 months,55.0
3935,39015969,2019-09-26,within an hour,100%,0,1,0,Bolton District,House,Entire home/apt,6,1.5,2.0,3.0,275,$250.00,35,1,10,1,1125,38,1,2019-11-01,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,strict_14_with_grace_period,-170.0,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0-6 months,171.0
3936,39016129,2016-08-16,within an hour,100%,1,0,0,Bury District,House,Private room,2,1.0,1.0,1.0,40,$0.00,0,1,10,1,1125,77,16,2019-10-14,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,flexible,966.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6-12 months,50.0
